iter	Passed	Remaining
570	2930	2201
571	2935	2196
572	2939	2190
573	2944	2185
574	2948	2179
575	2953	2173
576	2957	2168
577	2962	2162
578	2966	2157
579	2972	2152
580	2976	2146
581	2981	2141
582	2986	2135
583	2990	2130
584	2995	2124
585	3000	2119
586	3005	2114
587	3010	2109
588	3015	2103
589	3020	2099
590	3025	2093
591	3029	2087
592	3034	2082
593	3038	2077
594	3043	2071
595	3048	2066
596	3053	2061
597	3058	2055
598	3062	2050
599	3067	2044
600	3071	2039
601	3076	2033
602	3080	2028
603	3085	2022
604	3090	2017
605	3095	2012
606	3100	2007
607	3104	2001
608	3109	1996
609	3114	1991
610	3118	1985
611	3123	1980
612	3128	1974
613	3132	1969
614	3136	1963
615	3141	1958
616	3145	1952
617	3150	1947
618	3154	1941
619	3159	1936
620	3163	1930
621	3168	1925
622	3172	1919
623	3176	1914
624	3181	1908
625	3185	1903
626	3190	1897
627	3194	1892
628	3198	1886
629	3203	1881
630	3207	1875
631	3211	1870
632	3216	1864
633	3220	1859
634	3225	1853
635	3229	1848
636	3234	1842
637	3238	1837
638	3242	1832
639	3247	1826
640	3251	1821
641	3255	1815
642	3260	1810
643	3264	1804
644	3269	1799
645	3274	1794
646	3279	1789
647	3284	1784
648	3289	1778
649	3295	1774
650	3300	1769
651	3305	1764
652	3310	1758
653	3314	1753
654	3319	1748
655	3324	1743
656	3330	1738
657	3335	1733
658	3341	1728
659	3346	1723
660	3351	1718
661	3357	1714
662	3362	1709
663	3367	1703
664	3372	1699
665	3378	1694
666	3384	1689
667	3389	1684
668	3395	1679
669	3400	1675
670	3406	1670
671	3412	1665
672	3417	1660
673	3423	1655
674	3428	1650
675	3434	1646
676	3439	1641
677	3444	1636
678	3449	1630
679	3453	1625
680	3459	1620
681	3464	1615
682	3469	1610
683	3474	1605
684	3478	1599
685	3483	1594
686	3488	1589
687	3492	1583
688	3497	1578
689	3501	1573
690	3506	1567
691	3510	1562
692	3515	1557
693	3519	1551
694	3524	1546
695	3530	1541
696	3535	1536
697	3540	1531
698	3544	1526
699	3549	1521
700	3553	1515
701	3557	1510
702	3562	1505
703	3566	1499
704	3571	1494
705	3575	1489
706	3580	1483
707	3584	1478
708	3589	1473
709	3593	1467
710	3598	1462
711	3603	1457
712	3607	1452
713	3611	1446
714	3616	1441
715	3620	1436
716	3625	1430
717	3629	1425
718	3634	1420
719	3638	1415
720	3643	1409
721	3647	1404
722	3651	1399
723	3655	1393
724	3660	1388
725	3664	1383
726	3668	1377
727	3673	1372
728	3677	1367
729	3682	1361
730	3686	1356
731	3691	1351
732	3695	1346
733	3700	1340
734	3704	1335
735	3709	1330
736	3713	1325
737	3718	1320
738	3722	1314
739	3726	1309
740	3731	1304
741	3736	1299
742	3740	1293
743	3745	1288
744	3749	1283
745	3753	1278
746	3758	1272
747	3763	1267
748	3767	1262
749	3772	1257
750	3776	1252
751	3780	1246
752	3785	1241
753	3789	1236
754	3794	1231
755	3798	1226
756	3803	1220
757	3808	1215
758	3812	1210
759	3817	1205
760	3821	1200
761	3825	1194
762	3830	1189
763	3834	1184
764	3839	1179
765	3843	1174
766	3848	1168
767	3852	1163
768	3856	1158
769	3861	1153
770	3865	1148
771	3870	1142
772	3874	1137
773	3879	1132
774	3883	1127
775	3887	1122
776	3892	1117
777	3896	1111
778	3900	1106
779	3905	1101
780	3909	1096
781	3913	1091
782	3918	1085
783	3922	1080
784	3926	1075
785	3931	1070
786	3935	1065
787	3939	1059
788	3944	1054
789	3949	1049
790	3954	1044
791	3959	1039
792	3963	1034
793	3968	1029
794	3972	1024
795	3977	1019
796	3981	1014
797	3986	1009
798	3990	1003
799	3995	998
800	3999	993
801	4003	988
802	4007	983
803	4012	978
804	4016	972
805	4021	967
806	4025	962
807	4030	957
808	4034	952
809	4038	947
810	4043	942
811	4047	937
812	4051	932
813	4056	926
814	4060	921
815	4065	916
816	4069	911
817	4074	906
818	4078	901
819	4083	896
820	4087	891
821	4092	886
822	4096	881
823	4101	875
824	4105	870
825	4110	865
826	4114	860
827	4118	855
828	4123	850
829	4127	845
830	4131	840
831	4136	835
832	4140	830
833	4145	825
834	4149	819
835	4154	814
836	4158	809
837	4163	804
838	4168	799
839	4173	794
840	4179	790
841	4186	785
842	4193	780
843	4200	776
844	4206	771
845	4211	766
846	4215	761
847	4221	756
848	4227	751
849	4233	747
850	4239	742
851	4244	737
852	4249	732
853	4254	727
854	4260	722
855	4266	717
856	4272	712
857	4278	708
858	4283	703
859	4290	698
860	4296	693
861	4303	688
862	4308	683
863	4312	678
864	4317	673
865	4322	668
866	4327	663
867	4331	658
868	4336	653
869	4341	648
870	4346	643
871	4350	638
872	4355	633
873	4359	628
874	4363	623
875	4368	618
876	4372	613
877	4377	608
878	4382	603
879	4386	598
880	4391	593
881	4395	588
882	4400	583
883	4404	577
884	4408	572
885	4413	567
886	4417	562
887	4422	557
888	4426	552
889	4431	547
890	4435	542
891	4439	537
892	4444	532
893	4448	527
894	4453	522
895	4457	517
896	4462	512
897	4466	507
898	4471	502
899	4475	497
900	4480	492
901	4485	487
902	4490	482
903	4494	477
904	4498	472
905	4503	467
906	4507	462
907	4512	457
908	4517	452
909	4521	447
910	4526	442
911	4530	437
912	4534	432
913	4539	427
914	4543	422
915	4548	417
916	4552	412
917	4556	407
918	4561	402
919	4565	397
920	4570	392
921	4574	387
922	4579	382
923	4583	377
924	4587	371
925	4592	366
926	4596	361
927	4600	356
928	4605	351
929	4609	346
930	4614	341
931	4618	336
932	4622	331
933	4627	326
934	4631	321
935	4635	316
936	4640	311
937	4644	307
938	4649	302
939	4653	297
940	4657	292
941	4662	287
942	4666	282
943	4671	277
944	4675	272
945	4679	267
946	4684	262
947	4689	257
948	4693	252
949	4698	247
950	4703	242
951	4707	237
952	4712	232
953	4717	227
954	4722	222
955	4727	217
956	4732	212
957	4736	207
958	4741	202
959	4745	197
960	4750	192
961	4754	187
962	4760	182
963	4765	177
964	4770	173
965	4774	168
966	4780	163
967	4784	158
968	4789	153
969	4795	148
970	4802	143
971	4820	138
972	4829	134
973	4838	129
974	4847	124
975	4852	119
976	4859	114
977	4864	109
978	4870	104
979	4875	99
980	4881	94
981	4887	89
982	4894	84
983	4899	79
984	4903	74
985	4908	69
986	4913	64
987	4918	59
988	4922	54
989	4926	49
990	4931	44
991	4935	39
992	4940	34
993	4944	29
994	4948	24
995	4953	19
996	4958	14
997	4963	9
998	4968	4
999	4973	0
