iter	Logloss
0	0.6792079233
1	0.6630550154
2	0.6502523864
3	0.6357712532
4	0.6208160776
5	0.6092660696
6	0.5978068851
7	0.5854406251
8	0.5751125264
9	0.5637762807
10	0.5545300987
11	0.5430153098
12	0.5331627807
13	0.5232815578
14	0.5134444933
15	0.5054875649
16	0.4983653706
17	0.4909815741
18	0.4827042135
19	0.4748532159
20	0.4681830993
21	0.4629027203
22	0.456062312
23	0.4495419293
24	0.444538786
25	0.4396479321
26	0.4338814567
27	0.4280188689
28	0.4184996301
29	0.4132456355
30	0.4087543633
31	0.403257965
32	0.3988994274
33	0.3943124566
34	0.3878183505
35	0.3803148696
36	0.3759090751
37	0.3720003936
38	0.3666569848
39	0.3631161928
40	0.35895777
41	0.3532192229
42	0.3499923724
43	0.3466074326
44	0.3427157818
45	0.3398221527
46	0.3353967114
47	0.3327874229
48	0.3300399118
49	0.3272606262
50	0.3229697032
51	0.3189438254
52	0.3153075731
53	0.3131011464
54	0.3093752385
55	0.3054240639
56	0.3014313992
57	0.2982229505
58	0.2961439687
59	0.2943779392
60	0.2915412726
61	0.2896815852
62	0.2874636154
63	0.2849172432
64	0.2827327716
65	0.2802328903
66	0.2776786028
67	0.2762926578
68	0.274887687
69	0.2720899835
70	0.2705937883
71	0.2680622471
72	0.2654551692
73	0.2631586765
74	0.2609764782
75	0.2595248845
76	0.2582237228
77	0.2562781535
78	0.255172482
79	0.2531384427
80	0.2511670359
81	0.2496300232
82	0.2485379362
83	0.2474152576
84	0.2458141131
85	0.244403986
86	0.2422008778
87	0.2407438101
88	0.239285772
89	0.237667137
90	0.2365629589
91	0.2357228315
92	0.2350667276
93	0.2338321807
94	0.2330386285
95	0.2317233501
96	0.2301601262
97	0.229470984
98	0.2278116451
99	0.2260234394
100	0.2250082694
101	0.2232015689
102	0.2219742937
103	0.2213274563
104	0.2207805891
105	0.2201114135
106	0.2194838672
107	0.218087875
108	0.216807025
109	0.2158061239
110	0.2149279213
111	0.2131408941
112	0.2127124603
113	0.212013069
114	0.21095341
115	0.2095361838
116	0.2086040685
117	0.2072769138
118	0.2063074056
119	0.2052273982
120	0.2046730456
121	0.2038989532
122	0.2030146741
123	0.2023017379
124	0.201595569
125	0.2011658661
126	0.2003850818
127	0.1998603432
128	0.1992633126
129	0.1986637732
130	0.198185855
131	0.1974427221
132	0.19692658
133	0.1961904179
134	0.1953513176
135	0.193662672
136	0.1930838503
137	0.1925561733
138	0.1914411929
139	0.1910795298
140	0.1898033262
141	0.1889452648
142	0.1885962243
143	0.1876326976
144	0.1872972576
145	0.186297162
146	0.1857465137
147	0.1849699487
148	0.1844989398
149	0.1837618913
150	0.1833824755
151	0.1830349739
152	0.1827485521
153	0.1823386787
154	0.1820168939
155	0.1813814075
156	0.1809637495
157	0.1806780532
158	0.1804319005
159	0.1794002942
160	0.1790679076
161	0.1786552282
162	0.1781448338
163	0.1777553266
164	0.176665125
165	0.17626794
166	0.1755593165
167	0.1746321183
168	0.1740792759
169	0.173461576
170	0.1728295214
171	0.1722229331
172	0.1718980558
173	0.1712613925
174	0.1708394176
175	0.1704433024
176	0.1697376785
177	0.1691305293
178	0.1688599232
179	0.16844663
180	0.1680978843
181	0.1677268902
182	0.1673124725
183	0.1668963236
184	0.1665300303
185	0.1661803992
186	0.1657880867
187	0.1652514227
188	0.1646682766
189	0.1643924963
190	0.163816274
191	0.1633923861
192	0.1628683953
193	0.1621050618
194	0.1617489644
195	0.1614979106
196	0.1610625959
197	0.1605861957
198	0.1603070286
199	0.1600609329
200	0.1596646947
201	0.159066131
202	0.1587314321
203	0.1585037412
204	0.158120732
205	0.1579210966
206	0.1577117641
207	0.1570598115
208	0.1567188779
209	0.1561991208
210	0.1560232613
211	0.1557893065
212	0.1555714065
213	0.1552666139
214	0.1551081754
215	0.154668534
216	0.1542435065
217	0.153994397
218	0.1534893947
219	0.1531886845
220	0.1527563472
221	0.1525732187
222	0.1522815327
223	0.1520803447
224	0.151504744
225	0.1510900873
226	0.1507095004
227	0.1504483009
228	0.1500113375
229	0.1496643538
230	0.1493219184
231	0.149025759
232	0.1489259985
233	0.1487651299
234	0.1483342791
235	0.1479445651
236	0.1473059645
237	0.1471067657
238	0.1468969212
239	0.1465865682
240	0.146254752
241	0.1456070648
242	0.1451063909
243	0.1446956971
244	0.144522292
245	0.1439772321
246	0.1437052796
247	0.1434974941
248	0.1428781961
249	0.1426659092
250	0.142343862
251	0.1419440795
252	0.1416837584
253	0.1415533307
254	0.1411094192
255	0.1409061409
256	0.1406259129
257	0.1404356737
258	0.1402527539
259	0.1396002744
260	0.1392579103
261	0.1390631143
262	0.1389248943
263	0.1387414358
264	0.1385255896
265	0.1376822176
266	0.1372715945
267	0.1370919799
268	0.1367454965
269	0.1362813281
270	0.1359761759
271	0.1357572477
272	0.1354775861
273	0.1353391391
274	0.1349806908
275	0.134530099
276	0.1341879054
277	0.133843536
278	0.1336463287
279	0.1332832406
280	0.1331803814
281	0.1329135838
282	0.1326238507
283	0.1324166767
284	0.1321193017
285	0.1317780942
286	0.1316696896
287	0.1312867
288	0.1310079803
289	0.130625479
290	0.1304958446
291	0.1303237584
292	0.1300206087
293	0.1297274497
294	0.1295707806
295	0.1294550555
296	0.1292297116
297	0.1289905061
298	0.1288130518
299	0.1286787596
300	0.1284782407
301	0.1283295513
302	0.1281883963
303	0.128034311
304	0.1276353111
305	0.1274037539
306	0.127232177
307	0.1270132038
308	0.1268631267
309	0.1267359015
310	0.1264688263
311	0.1263042049
312	0.1261531985
313	0.1257692144
314	0.1252686636
315	0.1250661129
316	0.1248293612
317	0.1246086884
318	0.1241756875
319	0.123893383
320	0.1236859521
321	0.1234176179
322	0.1232317178
323	0.1229098519
324	0.1226064895
325	0.1224702256
326	0.1222607375
327	0.1220837843
328	0.121639279
329	0.1215234789
330	0.1213711256
331	0.1210304192
332	0.1207813733
333	0.120535978
334	0.1203086201
335	0.1201102288
336	0.1194893483
337	0.1192650937
338	0.1189759613
339	0.1184947396
340	0.1182920828
341	0.11810629
342	0.117717054
343	0.1175679963
344	0.1174743602
345	0.117376105
346	0.1172013393
347	0.1170510649
348	0.1169027269
349	0.1166493523
350	0.1163494975
351	0.1161532994
352	0.1159737403
353	0.1158224755
354	0.1157009902
355	0.1155904079
356	0.115425401
357	0.1151222678
358	0.1149767145
359	0.1148140671
360	0.1146477926
361	0.1144940373
362	0.1142567824
363	0.1139939604
364	0.1138596054
365	0.1136502894
366	0.1135459997
367	0.1133263084
368	0.1131615182
369	0.1129638475
370	0.1127444982
371	0.1125156989
372	0.112119897
373	0.1120093207
374	0.1117119881
375	0.1115265842
376	0.1113584906
377	0.111077463
378	0.1109896656
379	0.1108571749
380	0.1106435397
381	0.1105369554
382	0.1104149479
383	0.1102229609
384	0.1099146967
385	0.109746739
386	0.1094887095
387	0.1093583573
388	0.1091656293
389	0.1090460043
390	0.1088697211
391	0.1086322081
392	0.1085420704
393	0.1084783706
394	0.1082406252
395	0.1080870838
396	0.1079339663
397	0.1077639357
398	0.1076173043
399	0.1074600782
400	0.1073394793
401	0.1071593223
402	0.1070230817
403	0.1068380491
404	0.1066677685
405	0.1062991599
406	0.1061581167
407	0.1058159536
408	0.1055713208
409	0.105276086
410	0.1050522717
411	0.1047608588
412	0.1045454009
413	0.104281758
414	0.1039085088
415	0.1037361639
416	0.1036204197
417	0.1035281626
418	0.1034100287
419	0.1032668161
420	0.1031213556
421	0.1028368553
422	0.1027163482
423	0.1023978031
424	0.1023354969
425	0.102087829
426	0.101938398
427	0.1018089444
428	0.1016557003
429	0.1012738658
430	0.1011666601
431	0.1010097998
432	0.1008533591
433	0.1005421289
434	0.1003755681
435	0.1002047363
436	0.1000624039
437	0.09995009484
438	0.09978443915
439	0.09956939869
440	0.09944954332
441	0.09930045291
442	0.09895853569
443	0.09889715239
444	0.09872156901
445	0.09851988349
446	0.09834657667
447	0.09818612091
448	0.0980700463
449	0.09794917681
450	0.09781989678
451	0.09767041265
452	0.09756884739
453	0.09727715536
454	0.09686598589
455	0.09673533379
456	0.09663582595
457	0.09659347138
458	0.09641485654
459	0.09626110328
460	0.09606268067
461	0.09587844187
462	0.09579154608
463	0.09554881088
464	0.09512285324
465	0.09477113484
466	0.09471196435
467	0.09462340145
468	0.09418121352
469	0.09408212125
470	0.09397116815
471	0.09385001289
472	0.09370003821
473	0.09359776507
474	0.09351364299
475	0.09327312331
476	0.09317242519
477	0.09305804705
478	0.09292386649
479	0.09268823463
480	0.0924597024
481	0.09225709279
482	0.09199585756
483	0.09176754213
484	0.0916074183
485	0.09147282958
486	0.09121682422
487	0.09101253973
488	0.09067018147
489	0.09037703071
490	0.09023486637
491	0.08984519364
492	0.08962090451
493	0.08936510469
